graph,ID,set,G,omega,integrated_populations,integrated_coherences,final_sink_pop,time,t2_population
graphs/A1.mtx,A1,A,1,0,2.25000000000002,0.746112111927921,1.00000000000004,38.9404296875,1.00000000000004
graphs/A1.mtx,A1,A,1,0.1,2.41420118343199,0.578904020260285,0.999999999999932,55.877685546875,0.999999999999932
graphs/A1.mtx,A1,A,1,1,2.99999999999988,0,0.999999999999884,70.281982421875,0.999999999999884
graphs/A2.mtx,A2,A,2,0,1002.74999999998,510.731086325822,0.499999999999994,276.91650390625,0.999999999999985
graphs/A2.mtx,A2,A,2,0.1,11.9655301760952,5.19263602246847,0.999999999999942,299.9267578125,0.999999999999942
graphs/A2.mtx,A2,A,2,1,8.00000000000047,0,1.00000000000006,185.211181640625,1.00000000000006
graphs/A3.mtx,A3,A,3,0,1502.68749999996,2563.41567488915,0.250000000000052,719.970703125,0.999999999999992
graphs/A3.mtx,A3,A,3,0.1,29.1467609705167,12.2610026023744,0.999999999999995,664.9169921875,0.999999999999995
graphs/A3.mtx,A3,A,3,1,19,0,1,438.90380859375,1
graphs/B1.mtx,B1,B,1,0,1001.31249999991,502.196421894846,0.499999999999864,76.873779296875,0.999999999999817
graphs/B1.mtx,B1,B,1,0.1,6.79607467687896,2.85987332577286,0.99999999999997,205.6884765625,0.99999999999997
graphs/B1.mtx,B1,B,1,1,4.00000000000006,0,0.99999999999997,98.5107421875,0.99999999999997
graphs/B2.mtx,B2,B,2,0,1501.37500000006,2545.93519523093,0.24999999999996,173.33984375,1.00000000000001
graphs/B2.mtx,B2,B,2,0.1,17.7518528114171,9.06001980706437,1.00000000000002,426.727294921875,1.00000000000002
graphs/B2.mtx,B2,B,2,1,10.9999999999999,0,0.99999999999999,262.02392578125,0.99999999999999
graphs/B3.mtx,B3,B,3,0,1751.35937500001,5965.46315199262,0.125000000000005,363.800048828125,0.999999999999989
graphs/B3.mtx,B3,B,3,0.1,37.2340563151299,18.0191073683096,0.999999999999988,848.5107421875,0.999999999999988
graphs/B3.mtx,B3,B,3,1,25.9999999999998,0,0.999999999999992,607.0556640625,0.999999999999992
graphs/C1.mtx,C1,C,1,0,1334.47222222225,1114.21628712969,0.333333333333275,100.067138671875,0.999999999999957
graphs/C1.mtx,C1,C,1,0.1,9.60975609756095,4.8497208061945,0.999999999999979,258.48388671875,0.999999999999979
graphs/C1.mtx,C1,C,1,1,4.99999999999801,0,0.999999999999536,125.152587890625,0.999999999999536
graphs/C2.mtx,C2,C,2,0,1667.86111111114,3606.33629187573,0.166666666666685,235.77880859375,1.00000000000003
graphs/C2.mtx,C2,C,2,0.1,22.8990410934672,12.1006578263462,1.00000000000001,540.52734375,1.00000000000001
graphs/C2.mtx,C2,C,2,1,14.0000000000003,0,1.00000000000001,336.273193359375,1.00000000000001
graphs/C3.mtx,C3,C,3,0,1834.52083333333,7549.89926550165,0.083333333333343,492.950439453125,0.999999999999994
graphs/C3.mtx,C3,C,3,0.1,46.4667885316716,22.6356351705037,0.999999999999995,1055.11474609375,0.999999999999995
graphs/C3.mtx,C3,C,3,1,32.9999999999996,0,0.999999999999988,771.453857421875,0.999999999999988
graphs/D1.mtx,D1,D,1,0,1501.07812500001,1503.92547265093,0.249999999999911,122.6806640625,0.999999999999919
graphs/D1.mtx,D1,D,1,0.1,11.6796474687431,6.43920153758567,0.999999999999988,300.048828125,0.999999999999988
graphs/D1.mtx,D1,D,1,1,6.000000001563,0,0.999999999858139,151.0009765625,0.999999999858139
graphs/D2.mtx,D2,D,2,0,1751.15625000248,4219.95760150336,0.125000000000932,296.905517578125,1.00000000000215
graphs/D2.mtx,D2,D,2,0.1,28.4986719219572,14.7551270374489,0.999999999999996,665.95458984375,0.999999999999996
graphs/D2.mtx,D2,D,2,1,16.9999999999992,0,0.999999999999935,409.149169921875,0.999999999999935
graphs/D3.mtx,D3,D,3,0,1876.15234374999,8441.98095421676,0.062499999999986,621.978759765625,0.999999999999955
graphs/D3.mtx,D3,D,3,0.1,58.4505180486734,27.3661522610184,0.999999999999998,1322.6318359375,0.999999999999999
graphs/D3.mtx,D3,D,3,1,39.9999999999996,0,0.999999999999987,934.173583984375,0.999999999999987
